Fecha,idNodo,Total
156,2013-07-25,1351671926347,16281
157,2013-07-25,1351591868114,46164
158,2013-07-25,1351672500995,25500
159,2013-07-25,1351591695721,2251
160,2013-07-25,1351672370785,6017
161,2013-08-01,1351591868114,84016
162,2013-08-01,1351672500995,18424
163,2013-08-01,1351671926347,15002
164,2013-08-01,1351591695721,3341
165,2013-08-01,1351672370785,6293
166,2013-08-01,1353516696419,56942
167,2013-08-08,1351672370785,10080
168,2013-08-08,1351591695721,2846
169,2013-08-08,1353516696419,78208
170,2013-08-08,1351591868114,69388
171,2013-08-08,1351671926347,16030
172,2013-08-08,1351672500995,25871
173,2013-08-15,1351591695721,2624
174,2013-08-15,1351671926347,1372
175,2013-08-15,1353516696419,62266
176,2013-08-15,1351591868114,53433
177,2013-08-15,1351672500995,41754
178,2013-08-15,1351672370785,11677
179,2013-08-22,1351672370785,3913
180,2013-08-22,1353516696419,18804
181,2013-08-22,1351591868114,20727
182,2013-08-22,1351672500995,13584
183,2013-08-22,1351591695721,738
184,2013-08-29,1351591868114,11683
185,2013-08-29,1351672500995,8250
186,2013-08-29,1351672370785,2388
187,2013-08-29,1353516696419,14082
188,2013-09-05,1351671926347,93
189,2013-09-05,1351591695721,5617
190,2013-09-05,1351672370785,15481
191,2013-09-05,1351591868114,66533
192,2013-09-05,1353516696419,96615
193,2013-09-05,1351672500995,49363
194,2013-09-12,1351672370785,15011
195,2013-09-12,1351591695721,6237
196,2013-09-12,1351591868114,83341
197,2013-09-12,1353516696419,96032
198,2013-09-12,1351672500995,47084
199,2013-09-19,1351591695721,5118
200,2013-09-19,1353516696419,79465
201,2013-09-19,1351591868114,71698
202,2013-09-19,1351672500995,37758
203,2013-09-19,1351672370785,12147
204,2013-09-26,1353516696419,96336
205,2013-09-26,1351591868114,77880
206,2013-09-26,1351672500995,41644
207,2013-09-26,1351672370785,14989
208,2013-09-26,1351591695721,6705
209,2013-10-03,1351672370785,14715
210,2013-10-03,1351591695721,9282
211,2013-10-03,1353516696419,93806
212,2013-10-03,1351591868114,72520
213,2013-10-03,1351672500995,28093
214,2013-10-10,1351591800440,8000
215,2013-10-10,1351672370785,14674
216,2013-10-10,1351591695721,9994
217,2013-10-10,1353516696419,87540
218,2013-10-10,1351591868114,82562
219,2013-10-10,1351672500995,7918
220,2013-10-17,1351591868114,18890
221,2013-10-17,1351672500995,4146
222,2013-10-17,1381128343770,978
223,2013-10-17,1351591695721,1868
224,2013-10-17,1351672370785,3251
225,2013-10-24,1351591695721,28144
226,2013-10-31,1351591695721,36192
227,2013-11-07,1351591695721,34616
228,2013-11-14,1351591695721,38936
