2014-08-07, 104
2014-08-08, 146
2014-08-09,  90
2014-08-10,  70
2014-08-11, 134
2014-08-12, 204
2014-08-13, 228
2014-08-14, 210
2014-08-15, 164
2014-08-16, 120
2014-08-17, 146
2014-08-18, 178
2014-08-19, 196
2014-08-20, 206
2014-08-21, 206
2014-08-22, 182
2014-08-23, 152
2014-08-24, 114
2014-08-25, 168
2014-08-26, 198
2014-08-27, 235
2014-08-28,5714
2014-08-29,6645
2014-08-30,4263
2014-08-31,3758
2014-09-01,3604
2014-09-02, 210
2014-09-03, 194
2014-09-04, 218
2014-09-05, 222
2014-09-06, 104
2014-09-07, 106
2014-09-08,4108
2014-09-09,5677
2014-09-10,7361
2014-09-11,7424
2014-09-12,8158
2014-09-13,6187
2014-09-14,4214
2014-09-15,8362
2014-09-16,6894
2014-09-17,4653
2014-09-18,5679
2014-09-19,5033
2014-09-20,4142
2014-09-21,3710
2014-09-22,5164
2014-09-23,4936
2014-09-24,5231
2014-09-25,7788
2014-09-26,4850
2014-09-27,  63
2014-09-28,  24
2014-09-29,  61
2014-09-30,  51
2014-10-01,  53
2014-10-02,  54
2014-10-03,  19
